@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
129,'2020/05/08 10:56:03:794',5,-427.40036,-37.462666,282.28067,-989.131531,-439.606964,-243.66275,152.397919,-798.810852,0.024894,0.231107,5
130,'2020/05/08 10:56:03:856',5,-425.877197,-36.485821,281.064636,-989.46991,-438.798065,-243.585739,152.130371,-798.496033,0.021294,0.233893,5
131,'2020/05/08 10:56:03:921',5,-422.854736,-35.998421,281.750793,-988.577759,-438.403717,-243.023697,152.660248,-797.916626,0.022772,0.22891,5
132,'2020/05/08 10:56:03:984',5,-422.617889,-38.027824,281.271393,-987.70459,-438.298523,-242.824249,152.630386,-797.332886,0.02219,0.229194,5
133,'2020/05/08 10:56:04:050',5,-421.864746,-37.81958,281.358551,-988.563049,-437.883911,-243.053024,152.428192,-798.205261,0.025518,0.237113,5
134,'2020/05/08 10:56:04:123',5,-422.551178,-38.549511,281.41571,-989.989868,-437.68576,-242.858383,153.157288,-798.912964,0.024201,0.232562,5
135,'2020/05/08 10:56:04:191',5,-419.299377,-36.702961,280.256653,-989.694763,-436.201477,-242.574814,153.165298,-798.237793,0.030847,0.241323,5
136,'2020/05/08 10:56:04:255',5,-421.782654,-38.326935,282.043884,-988.709961,-436.824982,-242.415283,153.118042,-798.490906,0.030534,0.232445,5
137,'2020/05/08 10:56:23:571',6,-426.645721,-51.452114,410.240875,-760.164856,-459.148376,-256.262726,196.808334,-660.359863,-0.099008,0.241213,6
138,'2020/05/08 10:56:23:641',6,-428.88501,-51.17342,409.106598,-762.141113,-460.58783,-256.622314,195.913239,-661.608826,-0.102517,0.238873,6
139,'2020/05/08 10:56:23:723',6,-430.227936,-51.177814,408.361664,-762.456909,-461.566376,-256.65509,195.156067,-661.823853,-0.103617,0.237472,6
140,'2020/05/08 10:56:23:788',6,-430.238983,-51.177891,408.298615,-762.431702,-461.590576,-256.634766,195.083084,-661.796875,-0.104014,0.237181,6
141,'2020/05/08 10:56:23:851',6,-430.245209,-51.177025,408.298279,-762.430603,-461.594055,-256.635681,195.082184,-661.796265,-0.104021,0.237174,6
142,'2020/05/08 10:56:23:913',6,-430.245209,-51.177025,408.298279,-762.430603,-461.594055,-256.635681,195.082184,-661.796265,-0.104021,0.237174,6
143,'2020/05/08 10:56:23:977',6,-432.600677,-52.259998,409.989471,-755.736816,-463.259308,-256.063049,193.316238,-661.472107,-0.093398,0.243363,6
144,'2020/05/08 10:56:24:045',6,-435.213379,-53.070084,408.961884,-755.665344,-465.690521,-257.291992,192.698822,-660.874329,-0.100768,0.231835,6
145,'2020/05/08 10:56:24:109',6,-435.024017,-53.284168,408.925293,-755.067322,-465.679504,-257.332245,192.467468,-660.681091,-0.100495,0.233831,6
146,'2020/05/08 10:56:24:171',6,-434.715454,-53.60268,408.871185,-754.827271,-465.597473,-257.277283,192.387817,-660.477783,-0.101507,0.232803,6
147,'2020/05/08 10:56:24:236',6,-434.053192,-52.936287,408.001099,-755.218262,-465.278687,-256.620667,191.662979,-660.592102,-0.103713,0.232292,6
148,'2020/05/08 10:56:24:300',6,-433.877869,-52.883656,405.994598,-755.325195,-463.723297,-256.876068,191.065628,-659.078552,-0.100824,0.237677,6
149,'2020/05/08 10:56:24:363',6,-435.196808,-51.837162,404.23642,-751.783813,-464.158966,-255.232834,188.752243,-656.894043,-0.114494,0.246037,6
150,'2020/05/08 10:56:24:425',6,-435.395874,-51.807671,404.335449,-751.576843,-464.224945,-255.274918,188.840851,-656.765503,-0.113955,0.246401,6
151,'2020/05/08 10:56:24:489',6,-435.589905,-51.720783,404.285126,-751.545532,-464.312225,-255.28186,188.795563,-656.739014,-0.114054,0.246339,6
152,'2020/05/08 10:56:24:554',6,-437.667786,-52.439049,404.208496,-751.154175,-465.426331,-255.805099,188.87384,-656.246094,-0.114081,0.24395,6
153,'2020/05/08 10:56:24:621',6,-438.284943,-52.228123,404.156433,-751.315857,-465.716248,-255.908615,188.840561,-656.352173,-0.114185,0.243736,6
154,'2020/05/08 10:56:24:686',6,-438.289124,-52.225174,404.155487,-751.319397,-465.717957,-255.909561,188.839767,-656.354492,-0.114195,0.243729,6
155,'2020/05/08 10:56:24:755',6,-438.289124,-52.225174,404.155487,-751.319397,-465.717957,-255.909561,188.839767,-656.354492,-0.114195,0.243729,6
